Country Name,Country Code,CO2percap_2018
Aruba,ABW,
Africa Eastern and Southern,AFE,0.933541201
Afghanistan,AFG,0.200151071
Africa Western and Central,AFW,0.515544239
Angola,AGO,0.887380364
Albania,ALB,1.939731563
Andorra,AND,5.97340536
Arab World,ARB,4.438715965
United Arab Emirates,ARE,20.7974984
Argentina,ARG,3.987234198
Armenia,ARM,1.880246268
American Samoa,ASM,
Antigua and Barbuda,ATG,5.504663385
Australia,AUS,15.47551649
Austria,AUT,7.146637625
Azerbaijan,AZE,3.221402183
Burundi,BDI,0.05279463
Belgium,BEL,8.179711061
Benin,BEN,0.688722324
Burkina Faso,BFA,0.216186485
Bangladesh,BGD,0.512837314
Bulgaria,BGR,5.854773434
Bahrain,BHR,19.59297584
"Bahamas, The",BHS,5.86046391
Bosnia and Herzegovina,BIH,6.781131607
Belarus,BLR,6.283647736
Belize,BLZ,1.775127848
Bermuda,BMU,
Bolivia,BOL,2.000327663
Brazil,BRA,2.041874199
Barbados,BRB,4.360870779
Brunei Darussalam,BRN,16.64490862
Bhutan,BTN,1.829277992
Botswana,BWA,3.64230522
Central African Republic,CAF,0.070718706
Canada,CAN,15.49702527
Central Europe and the Baltics,CEB,6.597232486
Switzerland,CHE,4.401991044
Channel Islands,CHI,
Chile,CHL,4.624872245
China,CHN,7.352262682
Cote d'Ivoire,CIV,0.395305384
Cameroon,CMR,0.341842908
"Congo, Dem. Rep.",COD,0.026169263
"Congo, Rep.",COG,0.613992586
Colombia,COL,1.600650618
Comoros,COM,0.312379103
Cabo Verde,CPV,1.140200528
Costa Rica,CRI,1.652184053
Caribbean small states,CSS,5.017034408
Cuba,CUB,2.202300094
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,6.079400502
Czech Republic,CZE,9.640704998
Germany,DEU,8.558389812
Djibouti,DJI,0.510989933
Dominica,DMA,2.513053919
Denmark,DNK,5.761494164
Dominican Republic,DOM,2.363757648
Algeria,DZA,3.591657418
East Asia & Pacific (excluding high income),EAP,5.692966704
Early-demographic dividend,EAR,2.27814572
East Asia & Pacific,EAS,6.333892853
Europe & Central Asia (excluding high income),ECA,7.074186513
Europe & Central Asia,ECS,6.690480926
Ecuador,ECU,2.3138123
"Egypt, Arab Rep.",EGY,2.502042142
Euro area,EMU,6.454837567
Eritrea,ERI,0.231696216
Spain,ESP,5.5203504
Estonia,EST,12.103085
Ethiopia,ETH,0.149050931
European Union,EUU,6.424038741
Fragile and conflict affected situations,FCS,0.868444604
Finland,FIN,8.04275205
Fiji,FJI,2.150561976
France,FRA,4.619241205
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,1.598011364
Gabon,GAB,2.175272204
United Kingdom,GBR,5.398708138
Georgia,GEO,2.538541691
Ghana,GHA,0.541201382
Gibraltar,GIB,
Guinea,GIN,0.251323233
"Gambia, The",GMB,0.249989913
Guinea-Bissau,GNB,0.165394728
Equatorial Guinea,GNQ,5.095625096
Greece,GRC,6.08317505
Grenada,GRD,2.691814193
Greenland,GRL,
Guatemala,GTM,1.113969273
Guam,GUM,
Guyana,GUY,3.13219265
High income,HIC,10.25453315
"Hong Kong SAR, China",HKG,
Honduras,HND,1.019032757
Heavily indebted poor countries (HIPC),HPC,0.271687567
Croatia,HRV,4.055928762
Haiti,HTI,0.299374738
