Country Name,Country Code,Mortality_2018,Electricity_2018,CO2percap_2018,Electr_Cons_2014,gdppc_2020
Aruba,ABW,,100.0,,,
Africa Eastern and Southern,AFE,62.11538711,42.16824107,0.933541201,686.7280572,1356.699267
Afghanistan,AFG,62.5,98.71562195,0.200151071,,516.7478708
Africa Western and Central,AFW,99.59878061,51.25325261,0.515544239,186.1990097,1710.073363
Angola,AGO,77.7,45.29,0.887380364,312.2288945,1776.166868
Albania,ALB,9.5,100.0,1.939731563,2309.366503,5246.292306
Andorra,AND,3.1,100.0,5.97340536,,
Arab World,ARB,35.35389557,88.30632443,4.438715965,2508.462284,5586.781783
United Arab Emirates,ARE,7.6,100.0,20.7974984,11088.34186,36284.55524
Argentina,ARG,9.8,100.0,3.987234198,3074.702071,8579.017773
Armenia,ARM,12.4,99.9,1.880246268,1961.610395,4266.018074
American Samoa,ASM,,,,,12844.90099
Antigua and Barbuda,ATG,6.9,99.99972534,5.504663385,,13992.74448
Australia,AUS,3.7,100.0,15.47551649,10071.39898,51692.84275
Austria,AUT,3.5,100.0,7.146637625,8355.841952,48586.80132
Azerbaijan,AZE,21.6,100.0,3.221402183,2202.393918,4221.407478
Burundi,BDI,58.8,10.59861469,0.05279463,,238.9907259
Belgium,BEL,3.5,100.0,8.179711061,7709.123078,45159.34822
Benin,BEN,92.8,39.23860168,0.688722324,100.2251518,1291.040972
Burkina Faso,BFA,90.7,14.4,0.216186485,,857.9327297
Bangladesh,BGD,32.3,91.8,0.512837314,320.2099233,1961.613749
Bulgaria,BGR,7.0,100.0,5.854773434,4708.927458,10079.20338
Bahrain,BHR,7.1,100.0,19.59297584,19596.9831,20409.9528
"Bahamas, The",BHS,12.9,100.0,5.86046391,,25194.02514
Bosnia and Herzegovina,BIH,6.0,100.0,6.781131607,3446.764688,6079.738285
Belarus,BLR,3.4,100.0,6.283647736,3690.103683,6424.152176
Belize,BLZ,13.0,91.72,1.775127848,,4115.177008
Bermuda,BMU,,100.0,,,107079.4798
Bolivia,BOL,27.0,92.8,2.000327663,742.5383997,3133.099803
Brazil,BRA,14.4,99.7,2.041874199,2619.960499,6796.844542
Barbados,BRB,13.0,100.0,4.360870779,,15373.8547
Brunei Darussalam,BRN,11.2,100.0,16.64490862,10290.93802,27442.95383
Bhutan,BTN,29.6,99.96877289,1.829277992,,3000.779327
Botswana,BWA,43.0,68.35865784,3.64230522,1815.553722,6404.899932
Central African Republic,CAF,114.2,14.6539526,0.070718706,,492.7958712
Canada,CAN,5.0,100.0,15.49702527,15588.48715,43258.17632
Central Europe and the Baltics,CEB,5.025752256,100.0,6.597232486,4115.630201,16168.29609
Switzerland,CHE,4.1,100.0,4.401991044,7520.166025,87097.03645
Channel Islands,CHI,,100.0,,,
Chile,CHL,7.2,100.0,4.624872245,3879.67342,13231.70421
