Country Name,Country Code,Electricity_2018
Aruba,ABW,100.0
Africa Eastern and Southern,AFE,42.16824107
Afghanistan,AFG,98.71562195
Africa Western and Central,AFW,51.25325261
Angola,AGO,45.29
Albania,ALB,100.0
Andorra,AND,100.0
Arab World,ARB,88.30632443
United Arab Emirates,ARE,100.0
Argentina,ARG,100.0
Armenia,ARM,99.9
American Samoa,ASM,
Antigua and Barbuda,ATG,99.99972534
Australia,AUS,100.0
Austria,AUT,100.0
Azerbaijan,AZE,100.0
Burundi,BDI,10.59861469
Belgium,BEL,100.0
Benin,BEN,39.23860168
Burkina Faso,BFA,14.4
Bangladesh,BGD,91.8
Bulgaria,BGR,100.0
Bahrain,BHR,100.0
"Bahamas, The",BHS,100.0
Bosnia and Herzegovina,BIH,100.0
Belarus,BLR,100.0
Belize,BLZ,91.72
Bermuda,BMU,100.0
Bolivia,BOL,92.8
Brazil,BRA,99.7
Barbados,BRB,100.0
Brunei Darussalam,BRN,100.0
Bhutan,BTN,99.96877289
Botswana,BWA,68.35865784
Central African Republic,CAF,14.6539526
Canada,CAN,100.0
Central Europe and the Baltics,CEB,100.0
Switzerland,CHE,100.0
Channel Islands,CHI,100.0
Chile,CHL,100.0
China,CHN,100.0
Cote d'Ivoire,CIV,67.17237091
Cameroon,CMR,62.2
"Congo, Dem. Rep.",COD,18.75225258
"Congo, Rep.",COG,47.22546768
Colombia,COL,98.5
Comoros,COM,81.6246109
Cabo Verde,CPV,93.42980957
Costa Rica,CRI,99.7
Caribbean small states,CSS,97.73551587
Cuba,CUB,99.52880096
Curacao,CUW,100.0
Cayman Islands,CYM,100.0
Cyprus,CYP,100.0
Czech Republic,CZE,100.0
Germany,DEU,100.0
Djibouti,DJI,60.57155991
Dominica,DMA,100.0
Denmark,DNK,100.0
Dominican Republic,DOM,98.9
Algeria,DZA,99.641922
East Asia & Pacific (excluding high income),EAP,97.73888065
Early-demographic dividend,EAR,90.92324561
East Asia & Pacific,EAS,97.95669786
Europe & Central Asia (excluding high income),ECA,99.9820554
Europe & Central Asia,ECS,99.99185131
Ecuador,ECU,98.7
"Egypt, Arab Rep.",EGY,100.0
Euro area,EMU,100.0
Eritrea,ERI,49.17913818
Spain,ESP,100.0
Estonia,EST,100.0
Ethiopia,ETH,45.05340195
European Union,EUU,100.0
Fragile and conflict affected situations,FCS,53.2986196
Finland,FIN,100.0
Fiji,FJI,99.33879089
France,FRA,100.0
Faroe Islands,FRO,100.0
"Micronesia, Fed. Sts.",FSM,80.40616608
Gabon,GAB,89.84184265
United Kingdom,GBR,100.0
Georgia,GEO,99.9
Ghana,GHA,80.4
Gibraltar,GIB,100.0
Guinea,GIN,44.0
"Gambia, The",GMB,60.3
Guinea-Bissau,GNB,28.51482964
Equatorial Guinea,GNQ,66.43882751
Greece,GRC,100.0
Grenada,GRD,94.82138824
Greenland,GRL,100.0
Guatemala,GTM,94.41300964
